Source,Target,t,Type
150,271,34340,Undirected
311,496,34420,Undirected
21,431,34500,Undirected
79,275,34580,Undirected
271,601,34580,Undirected
222,267,34580,Undirected
50,179,34580,Undirected
222,267,34600,Undirected
222,267,34620,Undirected
271,601,34640,Undirected
222,267,34640,Undirected
222,267,34660,Undirected
150,601,34680,Undirected
120,172,34740,Undirected
271,448,34740,Undirected
271,601,34760,Undirected
29,271,34780,Undirected
120,223,34800,Undirected
271,601,34820,Undirected
271,601,34840,Undirected
271,601,34860,Undirected
271,601,34880,Undirected
271,601,34900,Undirected
120,172,34920,Undirected
271,601,34920,Undirected
271,601,34940,Undirected
271,601,34960,Undirected
271,601,34980,Undirected
271,601,35000,Undirected
271,601,35020,Undirected
271,601,35040,Undirected
271,601,35060,Undirected
271,601,35140,Undirected
271,601,35160,Undirected
271,601,35180,Undirected
271,601,35300,Undirected
271,601,35560,Undirected
271,601,35580,Undirected
116,123,35620,Undirected
271,601,35620,Undirected
271,601,35640,Undirected
29,95,35780,Undirected
123,253,35800,Undirected
123,253,35880,Undirected
123,253,35980,Undirected
120,172,36260,Undirected
120,172,36280,Undirected
79,253,36320,Undirected
311,496,36500,Undirected
311,496,36520,Undirected
285,762,36600,Undirected
285,762,36620,Undirected
285,762,36720,Undirected
285,762,36740,Undirected
285,762,36760,Undirected
123,253,36820,Undirected
285,762,36860,Undirected
150,601,36940,Undirected
285,762,37300,Undirected
150,762,37420,Undirected
29,79,37440,Undirected
150,762,37440,Undirected
150,762,37460,Undirected
150,762,37480,Undirected
150,762,37500,Undirected
116,826,37840,Undirected
63,481,38300,Undirected
120,172,38340,Undirected
120,172,38360,Undirected
63,481,38480,Undirected
762,771,38500,Undirected
63,481,38500,Undirected
63,481,38520,Undirected
63,481,38540,Undirected
63,481,38560,Undirected
63,481,38600,Undirected
63,481,38620,Undirected
63,481,38680,Undirected
63,481,38700,Undirected
63,481,38720,Undirected
63,481,38780,Undirected
63,481,38800,Undirected
63,481,38860,Undirected
56,939,39660,Undirected
50,335,39660,Undirected
123,253,39760,Undirected
778,826,39940,Undirected
778,826,39960,Undirected
223,496,40320,Undirected
123,253,40420,Undirected
29,56,40440,Undirected
29,56,40460,Undirected
29,56,40480,Undirected
29,56,40500,Undirected
29,56,40520,Undirected
95,819,40560,Undirected
123,253,40560,Undirected
29,56,40560,Undirected
116,778,40560,Undirected
105,113,41000,Undirected
223,496,41120,Undirected
172,311,41500,Undirected
120,311,41520,Undirected
105,113,41600,Undirected
172,311,41600,Undirected
120,172,41620,Undirected
172,311,41620,Undirected
120,311,41660,Undirected
105,113,41680,Undirected
105,113,42020,Undirected
113,513,42040,Undirected
123,253,42040,Undirected
123,253,42060,Undirected
105,113,42080,Undirected
113,513,42180,Undirected
172,311,42180,Undirected
172,311,42200,Undirected
172,311,42260,Undirected
172,311,42280,Undirected
172,311,42300,Undirected
123,253,42320,Undirected
172,311,42320,Undirected
123,253,42340,Undirected
172,311,42340,Undirected
172,311,42360,Undirected
123,253,42380,Undirected
172,311,42380,Undirected
119,275,42400,Undirected
172,311,42400,Undirected
172,311,42420,Undirected
172,311,42460,Undirected
105,113,42480,Undirected
119,335,42580,Undirected
113,513,42660,Undirected
63,481,42720,Undirected
105,513,42880,Undirected
50,771,43000,Undirected
50,771,43020,Undirected
15,95,43180,Undirected
15,95,43260,Undirected
15,29,43260,Undirected
29,95,43260,Undirected
29,95,43280,Undirected
15,95,43280,Undirected
15,29,43280,Undirected
15,95,43300,Undirected
15,95,43420,Undirected
15,95,43440,Undirected
15,95,43460,Undirected
194,786,43480,Undirected
15,95,43480,Undirected
105,113,43520,Undirected
95,194,43560,Undirected
15,95,43580,Undirected
15,95,43600,Undirected
95,194,43640,Undirected
150,154,43660,Undirected
95,194,43660,Undirected
150,154,43680,Undirected
15,95,43680,Undirected
95,194,43680,Undirected
150,154,43700,Undirected
105,113,43700,Undirected
150,154,43720,Undirected
105,113,43720,Undirected
105,113,43740,Undirected
150,154,43760,Undirected
150,154,43820,Undirected
494,765,43820,Undirected
150,154,43840,Undirected
494,765,43840,Undirected
150,154,43860,Undirected
150,154,43880,Undirected
150,154,43940,Undirected
494,765,43940,Undirected
150,154,43960,Undirected
48,209,44080,Undirected
48,209,44100,Undirected
48,209,44120,Undirected
113,513,44120,Undirected
80,222,44180,Undirected
17,48,44280,Undirected
179,209,44320,Undirected
17,179,44340,Undirected
179,209,44340,Undirected
17,209,44340,Undirected
17,48,44340,Undirected
66,209,44360,Undirected
48,209,44380,Undirected
17,66,44380,Undirected
123,253,44380,Undirected
17,66,44400,Undirected
80,222,44420,Undirected
17,66,44420,Undirected
123,253,44440,Undirected
17,66,44440,Undirected
196,223,44460,Undirected
17,66,44460,Undirected
66,196,44460,Undirected
196,223,44480,Undirected
223,819,44480,Undirected
17,102,44480,Undirected
39,205,44480,Undirected
66,209,44480,Undirected
17,66,44480,Undirected
196,819,44500,Undirected
48,66,44500,Undirected
17,66,44500,Undirected
80,765,44520,Undirected
17,66,44520,Undirected
66,102,44520,Undirected
196,819,44520,Undirected
66,209,44520,Undirected
48,66,44520,Undirected
66,102,44540,Undirected
80,765,44540,Undirected
17,179,44540,Undirected
196,819,44540,Undirected
17,66,44540,Undirected
66,209,44540,Undirected
48,66,44540,Undirected
48,209,44560,Undirected
48,66,44560,Undirected
66,102,44560,Undirected
223,819,44560,Undirected
196,819,44560,Undirected
21,66,44560,Undirected
102,179,44560,Undirected
48,209,44580,Undirected
66,102,44580,Undirected
21,48,44580,Undirected
17,102,44580,Undirected
205,496,44580,Undirected
102,179,44580,Undirected
48,209,44600,Undirected
66,102,44600,Undirected
17,102,44600,Undirected
21,66,44600,Undirected
102,179,44600,Undirected
48,209,44620,Undirected
80,765,44620,Undirected
48,134,44620,Undirected
66,102,44620,Undirected
17,102,44620,Undirected
21,66,44620,Undirected
134,209,44620,Undirected
66,209,44620,Undirected
102,179,44620,Undirected
48,66,44640,Undirected
80,765,44660,Undirected
80,765,44680,Undirected
105,113,44680,Undirected
80,765,44700,Undirected
80,765,44720,Undirected
240,275,44720,Undirected
80,222,44760,Undirected
134,240,44780,Undirected
80,222,44780,Undirected
134,240,44800,Undirected
80,222,44800,Undirected
240,285,44820,Undirected
134,496,44820,Undirected
80,222,44820,Undirected
240,285,44840,Undirected
134,285,44840,Undirected
80,222,44840,Undirected
123,253,44840,Undirected
240,285,44860,Undirected
134,240,44860,Undirected
134,285,44860,Undirected
80,222,44860,Undirected
123,253,44860,Undirected
271,601,44920,Undirected
205,496,44920,Undirected
205,496,44940,Undirected
271,601,44980,Undirected
205,311,44980,Undirected
205,496,44980,Undirected
80,311,44980,Undirected
311,496,45000,Undirected
205,496,45000,Undirected
63,481,45020,Undirected
205,496,45020,Undirected
80,222,45040,Undirected
205,496,45040,Undirected
80,222,45060,Undirected
205,496,45060,Undirected
63,271,45060,Undirected
80,765,45080,Undirected
205,311,45080,Undirected
80,222,45080,Undirected
205,496,45080,Undirected
80,765,45100,Undirected
205,496,45100,Undirected
80,765,45120,Undirected
80,222,45120,Undirected
80,222,45140,Undirected
205,496,45140,Undirected
222,496,45160,Undirected
205,311,45160,Undirected
205,496,45160,Undirected
311,496,45180,Undirected
205,496,45180,Undirected
205,311,45200,Undirected
205,496,45200,Undirected
205,496,45220,Undirected
205,496,45240,Undirected
80,765,45260,Undirected
80,222,45260,Undirected
205,496,45260,Undirected
205,496,45280,Undirected
80,765,45300,Undirected
205,496,45300,Undirected
80,765,45320,Undirected
222,496,45320,Undirected
205,496,45320,Undirected
39,113,45320,Undirected
80,765,45340,Undirected
205,496,45340,Undirected
39,113,45340,Undirected
80,222,45360,Undirected
80,765,45380,Undirected
80,765,45400,Undirected
80,765,45420,Undirected
205,496,45420,Undirected
80,765,45440,Undirected
123,253,45440,Undirected
80,765,45460,Undirected
80,494,45460,Undirected
80,765,45480,Undirected
80,494,45480,Undirected
80,765,45500,Undirected
80,494,45500,Undirected
80,765,45520,Undirected
80,494,45520,Undirected
39,113,45560,Undirected
494,765,45600,Undirected
123,253,45640,Undirected
80,222,45900,Undirected
105,275,46100,Undirected
311,496,46320,Undirected
311,496,46340,Undirected
80,222,46340,Undirected
311,496,46360,Undirected
123,253,46360,Undirected
123,253,46380,Undirected
80,311,46460,Undirected
80,311,46480,Undirected
311,496,46520,Undirected
311,496,46540,Undirected
311,496,46560,Undirected
311,496,46580,Undirected
80,765,46580,Undirected
311,496,46600,Undirected
311,496,46620,Undirected
311,496,46720,Undirected
113,242,46920,Undirected
113,194,46940,Undirected
311,496,46960,Undirected
113,242,47000,Undirected
311,496,47020,Undirected
113,242,47020,Undirected
113,194,47020,Undirected
113,242,47040,Undirected
113,194,47060,Undirected
311,496,47300,Undirected
311,496,47320,Undirected
311,496,47340,Undirected
79,804,47340,Undirected
311,496,47380,Undirected
267,311,47380,Undirected
311,496,47400,Undirected
267,311,47400,Undirected
267,311,47420,Undirected
267,311,47460,Undirected
80,222,47460,Undirected
205,267,47460,Undirected
66,102,47480,Undirected
267,311,47480,Undirected
80,222,47480,Undirected
123,164,47480,Undirected
267,311,47500,Undirected
21,66,47500,Undirected
205,267,47500,Undirected
267,311,47520,Undirected
267,311,47540,Undirected
267,311,47560,Undirected
79,804,47560,Undirected
79,804,47580,Undirected
267,311,47580,Undirected
66,179,47580,Undirected
267,311,47600,Undirected
267,496,47600,Undirected
267,311,47620,Undirected
267,496,47620,Undirected
311,496,47640,Undirected
267,311,47640,Undirected
80,222,47640,Undirected
267,496,47640,Undirected
311,496,47660,Undirected
267,311,47660,Undirected
267,496,47660,Undirected
205,267,47660,Undirected
311,496,47680,Undirected
48,804,47680,Undirected
267,311,47680,Undirected
511,804,47680,Undirected
179,222,47680,Undirected
267,496,47680,Undirected
205,267,47680,Undirected
267,311,47700,Undirected
511,804,47700,Undirected
179,222,47700,Undirected
205,267,47700,Undirected
267,311,47720,Undirected
48,179,47720,Undirected
48,179,47740,Undirected
17,179,47740,Undirected
267,311,47740,Undirected
311,496,47760,Undirected
17,179,47760,Undirected
267,311,47760,Undirected
511,804,47760,Undirected
511,804,47780,Undirected
48,179,47800,Undirected
48,179,47820,Undirected
511,804,47820,Undirected
48,179,47840,Undirected
511,804,47840,Undirected
267,496,47840,Undirected
66,804,47860,Undirected
21,48,47860,Undirected
511,804,47860,Undirected
267,496,47860,Undirected
17,21,47860,Undirected
17,48,47860,Undirected
275,804,47880,Undirected
511,804,47880,Undirected
267,496,47880,Undirected
511,804,47900,Undirected
311,496,47920,Undirected
102,271,47920,Undirected
511,804,47920,Undirected
21,66,47920,Undirected
102,601,47920,Undirected
271,601,47940,Undirected
267,311,47940,Undirected
511,804,47940,Undirected
271,601,47960,Undirected
511,804,47960,Undirected
271,601,47980,Undirected
21,66,47980,Undirected
311,496,48000,Undirected
271,601,48000,Undirected
267,311,48000,Undirected
21,66,48000,Undirected
267,496,48000,Undirected
311,496,48020,Undirected
267,311,48020,Undirected
267,496,48020,Undirected
79,311,48040,Undirected
205,496,48040,Undirected
48,66,48040,Undirected
311,496,48060,Undirected
271,601,48080,Undirected
222,267,48080,Undirected
271,601,48120,Undirected
222,267,48120,Undirected
48,80,48120,Undirected
222,267,48140,Undirected
271,601,48160,Undirected
804,826,48160,Undirected
48,66,48180,Undirected
804,826,48180,Undirected
778,804,48180,Undirected
271,601,48220,Undirected
222,267,48220,Undirected
271,601,48240,Undirected
209,285,48240,Undirected
79,102,48240,Undirected
223,267,48280,Undirected
285,875,48280,Undirected
222,223,48280,Undirected
222,267,48280,Undirected
223,267,48300,Undirected
285,875,48300,Undirected
222,223,48300,Undirected
222,267,48300,Undirected
223,267,48320,Undirected
271,601,48320,Undirected
285,875,48320,Undirected
222,267,48320,Undirected
223,267,48340,Undirected
285,875,48340,Undirected
222,267,48340,Undirected
223,267,48360,Undirected
271,601,48360,Undirected
285,875,48360,Undirected
285,875,48380,Undirected
184,267,48380,Undirected
275,875,48380,Undirected
271,601,48420,Undirected
271,601,48440,Undirected
285,875,48440,Undirected
271,601,48460,Undirected
285,875,48460,Undirected
285,875,48480,Undirected
184,804,48480,Undirected
184,804,48500,Undirected
184,804,48520,Undirected
184,804,48540,Undirected
285,875,48580,Undirected
285,875,48620,Undirected
102,240,48680,Undirected
222,267,48680,Undirected
102,240,48700,Undirected
222,267,48700,Undirected
222,267,48720,Undirected
222,267,48740,Undirected
285,875,48760,Undirected
48,66,48900,Undirected
285,875,48920,Undirected
48,66,48920,Undirected
222,267,48980,Undirected
48,66,48980,Undirected
222,267,49000,Undirected
21,66,49000,Undirected
48,66,49000,Undirected
21,209,49060,Undirected
119,875,49100,Undirected
222,267,49100,Undirected
222,267,49140,Undirected
21,209,49140,Undirected
222,267,49160,Undirected
21,66,49220,Undirected
48,66,49220,Undirected
48,66,49280,Undirected
21,48,49300,Undirected
21,66,49300,Undirected
48,66,49300,Undirected
48,66,49320,Undirected
222,267,49520,Undirected
222,267,49540,Undirected
79,95,49560,Undirected
21,66,49560,Undirected
222,267,49600,Undirected
29,95,49600,Undirected
21,66,49620,Undirected
48,66,49620,Undirected
222,267,49640,Undirected
21,66,49640,Undirected
95,181,49640,Undirected
222,267,49660,Undirected
21,66,49660,Undirected
48,66,49660,Undirected
21,66,49680,Undirected
48,66,49680,Undirected
48,66,49700,Undirected
134,240,49720,Undirected
21,48,49740,Undirected
21,66,49740,Undirected
48,66,49740,Undirected
21,66,49760,Undirected
48,66,49760,Undirected
21,66,49780,Undirected
48,66,49780,Undirected
79,95,49800,Undirected
48,66,49800,Undirected
21,48,49800,Undirected
21,66,49800,Undirected
48,66,49820,Undirected
48,66,49840,Undirected
48,66,49860,Undirected
39,267,49880,Undirected
48,66,49880,Undirected
48,66,49900,Undirected
48,66,49920,Undirected
48,66,49940,Undirected
95,786,49960,Undirected
48,66,49960,Undirected
21,48,49980,Undirected
48,66,49980,Undirected
50,102,50040,Undirected
63,481,50060,Undirected
39,205,50060,Undirected
39,205,50080,Undirected
39,205,50100,Undirected
119,275,50120,Undirected
39,205,50120,Undirected
39,205,50140,Undirected
21,66,50200,Undirected
223,311,50220,Undirected
223,311,50240,Undirected
21,66,50240,Undirected
21,66,50400,Undirected
48,66,50400,Undirected
17,21,50400,Undirected
765,786,50480,Undirected
765,786,50500,Undirected
50,771,50540,Undirected
119,762,50540,Undirected
17,771,50600,Undirected
765,786,50740,Undirected
765,786,50760,Undirected
123,253,50760,Undirected
448,499,50780,Undirected
50,875,50920,Undirected
335,511,50920,Undirected
120,494,51000,Undirected
120,494,51020,Undirected
120,494,51040,Undirected
120,494,51060,Undirected
120,494,51080,Undirected
120,494,51120,Undirected
120,494,51140,Undirected
120,494,51160,Undirected
120,494,51180,Undirected
120,494,51200,Undirected
120,494,51220,Undirected
120,494,51240,Undirected
120,494,51260,Undirected
120,494,51280,Undirected
120,494,51300,Undirected
120,494,51320,Undirected
123,253,51340,Undirected
120,494,51340,Undirected
123,253,51400,Undirected
120,494,51400,Undirected
123,253,51420,Undirected
120,494,51420,Undirected
120,494,51440,Undirected
120,494,51460,Undirected
120,494,51480,Undirected
765,786,51580,Undirected
120,494,51640,Undirected
120,494,51660,Undirected
120,494,51680,Undirected
120,494,51700,Undirected
120,494,51720,Undirected
120,494,51740,Undirected
123,253,51760,Undirected
120,494,51760,Undirected
120,494,51780,Undirected
765,786,51800,Undirected
120,494,51800,Undirected
765,786,51820,Undirected
120,494,51820,Undirected
765,786,51840,Undirected
120,494,51840,Undirected
120,494,51860,Undirected
765,786,51880,Undirected
765,786,51960,Undirected
222,267,51960,Undirected
123,253,51960,Undirected
120,494,51960,Undirected
765,786,51980,Undirected
123,253,51980,Undirected
120,494,51980,Undirected
765,786,52000,Undirected
123,253,52000,Undirected
120,494,52000,Undirected
765,786,52020,Undirected
120,494,52020,Undirected
120,494,52040,Undirected
120,494,52060,Undirected
765,786,52080,Undirected
120,494,52080,Undirected
120,494,52100,Undirected
765,786,52120,Undirected
120,494,52120,Undirected
120,494,52140,Undirected
120,494,52160,Undirected
120,494,52180,Undirected
120,494,52200,Undirected
765,786,52220,Undirected
120,494,52220,Undirected
765,786,52240,Undirected
120,494,52240,Undirected
765,786,52260,Undirected
120,494,52260,Undirected
120,494,52280,Undirected
120,494,52300,Undirected
765,786,52900,Undirected
120,494,52900,Undirected
765,786,52980,Undirected
222,267,52980,Undirected
120,494,53060,Undirected
134,285,53080,Undirected
120,494,53080,Undirected
765,786,53140,Undirected
222,267,53160,Undirected
222,267,53200,Undirected
222,267,53220,Undirected
765,786,53320,Undirected
765,786,53340,Undirected
765,786,53360,Undirected
29,222,53520,Undirected
29,222,53540,Undirected
223,311,53540,Undirected
222,267,53600,Undirected
120,494,53800,Undirected
222,267,53840,Undirected
123,253,53880,Undirected
123,253,53900,Undirected
120,494,53900,Undirected
765,786,54000,Undirected
222,267,54080,Undirected
222,267,54100,Undirected
222,267,54120,Undirected
268,845,54120,Undirected
17,762,54140,Undirected
222,267,54140,Undirected
134,762,54140,Undirected
765,786,54280,Undirected
765,786,54400,Undirected
765,786,54420,Undirected
184,778,54420,Undirected
765,786,54440,Undirected
17,762,54440,Undirected
184,778,54440,Undirected
17,762,54460,Undirected
184,778,54460,Undirected
765,786,54520,Undirected
184,778,54520,Undirected
765,786,54540,Undirected
184,778,54540,Undirected
184,778,54560,Undirected
116,762,54600,Undirected
184,778,54620,Undirected
184,778,54640,Undirected
184,778,54660,Undirected
120,494,54660,Undirected
184,778,54680,Undirected
120,494,54700,Undirected
120,494,54720,Undirected
184,778,54740,Undirected
120,494,54740,Undirected
184,778,54760,Undirected
184,778,54780,Undirected
184,778,54800,Undirected
184,778,54820,Undirected
184,778,54840,Undirected
184,778,54860,Undirected
120,494,54860,Undirected
765,786,54880,Undirected
184,778,54880,Undirected
765,786,54900,Undirected
184,778,54900,Undirected
120,494,54900,Undirected
765,786,54920,Undirected
184,778,54920,Undirected
765,786,54940,Undirected
184,778,54940,Undirected
765,786,54960,Undirected
184,778,54960,Undirected
765,786,54980,Undirected
184,778,54980,Undirected
184,778,55000,Undirected
184,778,55020,Undirected
184,778,55040,Undirected
120,494,55040,Undirected
184,778,55060,Undirected
119,275,55100,Undirected
120,494,55100,Undirected
184,778,55120,Undirected
119,275,55120,Undirected
120,494,55120,Undirected
765,786,55160,Undirected
765,786,55180,Undirected
123,253,55180,Undirected
765,786,55200,Undirected
123,253,55200,Undirected
120,494,55200,Undirected
120,494,55220,Undirected
765,786,55240,Undirected
765,786,55260,Undirected
184,778,55260,Undirected
765,786,55280,Undirected
184,778,55280,Undirected
765,786,55300,Undirected
184,778,55300,Undirected
765,786,55320,Undirected
184,778,55320,Undirected
184,778,55360,Undirected
184,778,55380,Undirected
184,778,55400,Undirected
765,786,55420,Undirected
184,778,55420,Undirected
184,778,55440,Undirected
184,778,55460,Undirected
765,786,55480,Undirected
184,778,55480,Undirected
184,778,55500,Undirected
184,778,55520,Undirected
184,778,55540,Undirected
184,778,55560,Undirected
120,494,55560,Undirected
184,778,55580,Undirected
120,494,55580,Undirected
184,778,55600,Undirected
120,494,55600,Undirected
184,778,55620,Undirected
120,494,55620,Undirected
120,494,55640,Undirected
196,223,55660,Undirected
120,494,55680,Undirected
120,494,55700,Undirected
120,494,55740,Undirected
80,762,55760,Undirected
275,762,55760,Undirected
120,494,55760,Undirected
120,494,55780,Undirected
120,494,55800,Undirected
120,494,55840,Undirected
120,494,55860,Undirected
120,494,55920,Undirected
63,154,55940,Undirected
119,275,55940,Undirected
119,275,55960,Undirected
116,481,56060,Undirected
120,494,56060,Undirected
765,786,56100,Undirected
765,786,56120,Undirected
765,786,56140,Undirected
765,786,56180,Undirected
120,494,56180,Undirected
120,494,56200,Undirected
120,494,56260,Undirected
116,481,56280,Undirected
120,494,56280,Undirected
765,786,56300,Undirected
765,786,56320,Undirected
765,786,56340,Undirected
765,786,56380,Undirected
120,494,56380,Undirected
120,494,56400,Undirected
120,494,56420,Undirected
120,494,56440,Undirected
765,786,56460,Undirected
120,494,56460,Undirected
765,786,56480,Undirected
765,786,56500,Undirected
765,786,56540,Undirected
765,786,56600,Undirected
765,786,56620,Undirected
765,786,56680,Undirected
765,786,56700,Undirected
63,481,56860,Undirected
63,481,56880,Undirected
63,481,56960,Undirected
762,875,56980,Undirected
123,253,57000,Undirected
123,253,57020,Undirected
123,253,57040,Undirected
762,875,57060,Undirected
123,253,57060,Undirected
63,105,57160,Undirected
63,105,57180,Undirected
63,481,57280,Undirected
63,481,57300,Undirected
184,778,57300,Undirected
50,875,57320,Undirected
762,875,57360,Undirected
184,778,57360,Undirected
185,778,57380,Undirected
184,268,57380,Undirected
184,185,57380,Undirected
184,778,57380,Undirected
63,481,57380,Undirected
63,481,57400,Undirected
184,268,57400,Undirected
184,185,57400,Undirected
184,268,57420,Undirected
184,268,57440,Undirected
184,778,57440,Undirected
184,778,57480,Undirected
17,102,57520,Undirected
184,268,57540,Undirected
184,804,57580,Undirected
184,268,57600,Undirected
184,268,57620,Undirected
17,102,57680,Undirected
17,102,57700,Undirected
184,268,57720,Undirected
184,268,57740,Undirected
184,804,57760,Undirected
184,804,57780,Undirected
184,268,57820,Undirected
184,268,57860,Undirected
113,223,58400,Undirected
184,268,58440,Undirected
184,268,58560,Undirected
15,95,58620,Undirected
205,223,58900,Undirected
15,496,59100,Undirected
95,496,59100,Undirected
15,496,59120,Undirected
15,496,59140,Undirected
205,223,59340,Undirected
123,253,59380,Undirected
285,481,59400,Undirected
123,253,59400,Undirected
123,253,59420,Undirected
123,253,59460,Undirected
205,223,59460,Undirected
123,253,59500,Undirected
123,253,59520,Undirected
123,253,59540,Undirected
184,268,59620,Undirected
15,496,59700,Undirected
123,253,59700,Undirected
15,95,59720,Undirected
222,267,59820,Undirected
222,267,59840,Undirected
120,494,59840,Undirected
222,267,59860,Undirected
120,494,59860,Undirected
222,267,59880,Undirected
120,494,59880,Undirected
222,267,59900,Undirected
222,267,59920,Undirected
222,267,59940,Undirected
222,267,59960,Undirected
222,267,60020,Undirected
184,268,60040,Undirected
120,494,60040,Undirected
222,267,60140,Undirected
222,267,60160,Undirected
240,938,60180,Undirected
222,267,60280,Undirected
222,267,60300,Undirected
222,267,60320,Undirected
222,267,60340,Undirected
222,267,60360,Undirected
222,267,60380,Undirected
222,267,60400,Undirected
222,267,60420,Undirected
222,267,60440,Undirected
222,267,60460,Undirected
222,267,60480,Undirected
285,481,60580,Undirected
285,481,60600,Undirected
120,494,60720,Undirected
120,494,60740,Undirected
194,311,60760,Undirected
120,494,60760,Undirected
194,311,60780,Undirected
120,494,60780,Undirected
194,311,60800,Undirected
120,494,60800,Undirected
120,494,60820,Undirected
120,494,60900,Undirected
150,285,60960,Undirected
150,285,60980,Undirected
194,311,61060,Undirected
194,311,61140,Undirected
194,311,61160,Undirected
194,311,61180,Undirected
194,311,61200,Undirected
194,311,61220,Undirected
123,253,61280,Undirected
123,253,61340,Undirected
120,494,61360,Undirected
95,194,62440,Undirected
95,194,62460,Undirected
95,194,62480,Undirected
95,194,62500,Undirected
95,194,62520,Undirected
95,194,62540,Undirected
95,194,62560,Undirected
95,194,62580,Undirected
194,311,62600,Undirected
95,194,62600,Undirected
194,311,62620,Undirected
222,267,62660,Undirected
222,267,62680,Undirected
222,267,62700,Undirected
95,194,62700,Undirected
222,267,62720,Undirected
95,194,62720,Undirected
222,267,62740,Undirected
95,194,62740,Undirected
95,194,62760,Undirected
184,845,62800,Undirected
184,268,62820,Undirected
184,268,62840,Undirected
184,845,62840,Undirected
184,268,62860,Undirected
184,845,62860,Undirected
184,268,62900,Undirected
184,845,62900,Undirected
184,845,62920,Undirected
184,845,62940,Undirected
184,845,62960,Undirected
184,268,62980,Undirected
184,845,63040,Undirected
184,826,63080,Undirected
184,268,63120,Undirected
184,268,63140,Undirected
39,205,63180,Undirected
39,205,63200,Undirected
39,205,63220,Undirected
123,253,63380,Undirected
123,253,63400,Undirected
223,253,63480,Undirected
120,765,63500,Undirected
120,765,63520,Undirected
120,765,63600,Undirected
95,123,63620,Undirected
95,123,63640,Undirected
15,123,63660,Undirected
95,253,63660,Undirected
15,95,63660,Undirected
123,253,63660,Undirected
95,123,63660,Undirected
120,765,63680,Undirected
95,123,63680,Undirected
120,765,63700,Undirected
95,123,63700,Undirected
95,123,63720,Undirected
95,123,63740,Undirected
95,123,63760,Undirected
95,123,63780,Undirected
123,253,64000,Undirected
120,765,64020,Undirected
123,253,64020,Undirected
120,765,64040,Undirected
120,765,64060,Undirected
123,253,64060,Undirected
123,253,64080,Undirected
120,765,64100,Undirected
123,253,64100,Undirected
120,765,64120,Undirected
123,253,64120,Undirected
123,253,64140,Undirected
39,804,64200,Undirected
120,765,64240,Undirected
120,765,64260,Undirected
120,765,64280,Undirected
120,765,64360,Undirected
120,494,64480,Undirected
172,196,64700,Undirected
275,804,65060,Undirected
150,154,116880,Undirected
80,771,117660,Undirected
39,819,118040,Undirected
39,819,118060,Undirected
762,771,118240,Undirected
120,819,118600,Undirected
